POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
566604,90,11,13,16.2,111.9,81.33,193.23,4882803,531660,111528,665673,6191664,3048958,405339,3454297,1081195,1401887,5937379,530354,1990739,52472,16732,4553,129094,2234895,313184,3932942,21497,25679,1753538,104866,545425,643042,01/92,12/92,ND,38,93,04,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0
797279,83,28,5,26.78,179.77,85.44,265.21,7713991,353006,281869,810772,9159638,4172570,753582,4926152,1126632,1946495,7999279,509418,2484374,39370,15305,5201,151883,2811110,514752,4585357,22568,37879,1601222,110138,797279,799065,07/91,06/92,MT,30,93,07,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0
602431,205,6,0,32.29,116.91,105.37,222.28,6252524,15103,0,2809056,9076683,4585561,724818,5310379,1229764,1789747,8329890,577564,2512430,46088,11858,6920,213098,2315995,326030,3626568,8070,47961,1549324,110598,520958,562958,01/91,08/92,VT,50,93,01,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0
666168,27,2,2,27.25,70.58,107.32,177.9,5340622,811229,135891,958341,7246083,3651267,856486,4507753,1308857,1121852,6938462,616052,1208636,28893,10375,4202,70436,2095651,340475,2950100,9961,11096,982193,107167,666168,666168,07/91,06/92,DE,10,93,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0
594743,116,20,10,31.35,111.62,152.64,264.26,8614574,0,50522,912722,9577818,4661419,884565,5545984,1425597,1484596,8456177,450930,2354222,51596,17620,5942,155872,2659240,205309,4891583,14190,34026,1910082,95927,594743,696004,01/92,12/92,SD,46,93,04,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0
585004,85,11,3,61.47,99.99,172.68,272.67,15343498,1133811,227423,793604,17498336,7844219,2763501,10607720,2174204,4357710,17139634,372470,1863671,95381,27233,6953,143777,2763559,432205,3731251,17228,25744,1358104,113338,585000,585000,07/91,06/92,AK,02,93,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,0,0,1,1,0
1210704,230,9,2,114,365.01,194.1,559.11,20787089,17746,153611,2910955,23869401,11868822,1605738,13474560,3576354,3009239,20060153,966420,4733130,111406,42606,15343,323112,5208983,752329,8255071,39105,50053,3290054,270243,1101501,1105000,07/91,12/92,NH,33,93,01,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0
844350,105,37,5,42.07,147.59,236.81,384.4,10509181,384784,299876,1764233,12958074,5998776,1433986,7432762,1798510,2945265,12176537,2401828,2925267,67438,25532,6724,215200,3932684,651267,6763203,23893,35341,2842353,146216,836715,1039000,10/91,09/92,ID,16,93,07,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0
2592630,47,198,2,118.06,474.85,250.16,725.01,16288448,2794874,527328,1599794,21210444,10824000,2414036,13238036,2948935,3728116,19915087,1255151,5000100,97714,51969,11172,434278,6246211,1115299,8136205,14426,28887,2479000,280380,2573216,2573216,10/91,09/92,MS,28,93,05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,2,0
467000,23,55,3,34.1,43.1,256.4,299.5,10009892,0,37542,826933,10874367,5351730,1485135,6836865,1526413,2067819,10431097,383395,2006094,65155,20996,4750,122031,1932815,341165,4094500,11807,18652,1384970,78919,467000,467000,07/91,06/92,WY,56,93,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,1,0,0,0,0,1,0
