LIBID,LIBNAME,ADDRESS,CITY,ZIP1,ZIP2,PHONE,POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,C_RELATN,C_LEGBASE,C_ADMIN,CNTY,POPU_UNDUP,FSCSKEY,STABR,PUB_FIPS,YR,OBEREG,RSTATUS,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
40,Anchor Point Public Library,P. O. Box 129,Anchor Point,99556,0129,9072355692,1494,1,0,0,0,0.25,0,0.25,3744,6516,0,0,10260,,,,2768,,10271,0,10355,26,628,4,520,2500,350,6949,0,30,1133,380,NO,NP,SO,-1,1494,AK0001,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
50,Anchorage Municipal Libraries,3600 Denali,Anchorage,99503,6093,9072612975,248296,1,4,0,34.7,34.7,67.65,102.35,7166927,60679,88140,444858,7760604,3498082,1306240,4804322,674840,2281442,7760604,0,415192,52903,2550,1722,9379,409529,221312,1314783,2362,4929,487568,15943,NO,CI,MO,-1,248296,AK0002,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
60,Anderson Village Library,P. O. Box 3078,Anderson,99744,3078,9075822628,650,1,0,0,0,0.25,0,0.25,3500,8033,0,3667,15200,,,,6602,,15200,0,11129,391,602,13,500,6112,1227,3067,1,56,1446,2763,NO,NP,SO,-1,650,AK0003,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,,11, 0, 0, 0, 0, 0,11, 0
70,Aniak Public Library,P. O. Box 270,Aniak,99557,0270,9076754435,573,1,0,0,0,0.25,0,0.25,0,5000,4000,0,9000,,,,1371,,5000,0,2968,94,262,15,480,477,26,579,0,21,137,46,NO,CI,SO,-1,573,AK0004,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 2, 0, 0, 0, 0,10, 0
90,Kuskokwim Consortium Library,Pouch 1068,Bethel,99559,1068,9075434516,5009,1,0,0,0.75,0.75,2,2.75,65543,17673,4284,160704,248204,141374,48956,190330,23077,34797,248204,0,32711,2206,456,128,3146,30000,2334,20446,194,375,0,286,NO,AP,SO,-1,5009,AK0006,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 5, 0, 0, 0, 0, 0, 0
100,Big Lake Library,P. O. Box 520829,Big Lake,99652,0829,9078926475,4964,1,0,0,1,1,0.2,1.2,88449,8033,0,0,96482,,,,12498,,96482,0,9158,208,369,39,2208,13212,865,23672,20,65,17125,1816,NO,MJ,SO,-1,4964,AK0007,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
110,Cantwell Sch/Comm Library,P. O. Box 68,Cantwell,99729,0068,9077682372,144,1,0,0,0,0.25,0,0.25,0,5455,0,750,6205,,,,2200,,6205,0,8461,101,79,35,515,1900,570,7092,0,12,1452,65,NO,SP,SO,-1,144,AK0008,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
150,Chiniak Public Library,P. O. Box 5610,Chiniak,99615,5610,9074863022,77,1,0,0,0,0,0,0,3000,6820,0,486,10306,,,,3043,,10162,0,7105,50,265,20,520,3500,250,4475,0,0,2725,193,NO,NP,SO,-1,77,AK0011,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
170,Ruth Riggs Public Library,HC 60 Box 3770,Clearwater,99737,9418,9078954408,1500,1,0,0,0,0,0,0,0,5000,0,736,5736,,,,2809,,5005,0,10899,270,979,7,900,4500,100,15487,0,15,1512,3,NO,NP,SO,-1,1500,AK0013,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
180,Cold Bay Public Library,P. O. Box 87,Cold Bay,99571,0087,9075322656,120,1,0,0,0,0,0,0,2000,6213,0,0,8213,,,,6154,,8298,0,8330,278,1089,3,710,2477,200,6404,0,5,969,369,NO,CI,SO,-1,120,AK0014,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 8, 0
190,Cooper Landing Comm. Library,P. O. Box 517,Cooper Landing,99572,9998,9075951241,536,1,0,0,0,0,0,0,0,6213,0,3767,9980,,,,7085,,9045,0,3676,583,256,11,1040,2463,0,4005,0,20,1218,240,NO,NP,SO,-1,536,AK0015,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0,10, 0
200,Cordova Public Library,P. O. Box 1170,Cordova,99574,1170,9074246667,2597,1,0,0,0,1,2,3,117000,8033,0,2691,127724,65380,42534,107914,3788,3769,115471,0,21086,1126,242,70,2080,24521,1210,27397,0,1190,13570,3980,NO,CI,SO,-1,2597,AK0016,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 5, 0, 0, 0, 0, 0, 0
210,Craig Public Library,P. O. Box 26,Craig,99921,0026,9078263281,1512,1,0,0,0,0.86,0,0.86,43993,8033,0,411,52437,,,,7492,,41988,0,10126,372,135,40,1976,3300,125,11037,0,107,3787,390,NO,CI,SO,-1,1512,AK0017,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
220,Ipnatchiaq Library,P. O. Box 36049,Deering,99736,0049,9073632136,159,1,0,0,0,0.45,0,0.45,4325,7426,4290,0,16041,,,,2832,,15524,0,5347,143,29,17,737,3380,12,298,0,1,102,409,NO,CI,SO,-1,159,AK0018,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
