POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
554822,77,8,14,18.58,106.21,95.66,201.87,4992855,547576,20960,829486,6390877,3176466,450945,3627411,1099981,1383693,6111085,265926,1917645,50638,19493,4091,119284,2810764,344647,3912412,32874,33524,1756133,318599,545425,643042,01/94,12/94,ND,38,95,04,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0
560500,200,4,0,34.07,126.44,107.96,234.4,6032841,10979,0,2759979,8803799,4461800,837384,5299184,1333282,1804288,8436754,1850356,2553421,43889,17970,7050,218813,2249918,320316,3617720,13682,48827,1538256,118512,519455,562758,01/93,08/94,VT,50,95,01,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0
666168,27,2,2,30.43,73.04,119.89,192.93,6969901,864896,160512,1090950,9086259,4521431,1194249,5715680,1394587,1430931,8541198,2772535,1255182,38149,15163,3853,67223,2202506,378558,2887200,10946,14197,951387,106011,666168,666168,07/93,06/94,DE,10,95,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0
822347,82,28,4,30.63,146.15,134.13,280.28,9529037,309316,356447,1157200,11352000,4737152,954194,5691346,1057625,2314647,9063618,336199,2541470,35107,21427,5222,160429,2924805,597686,4941329,23837,38643,1729158,97707,822347,822347,07/93,06/94,MT,30,95,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,1,0
563788,113,21,11,32.92,112.02,156.19,265.46,9539315,0,72243,1195316,10806874,5170559,1044099,6214658,1578585,1658501,9451744,2210337,2412812,48076,23057,5659,167294,2482829,53527,4881856,22973,42744,1865236,107181,680000,708000,01/94,12/94,SD,46,95,04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0
469210,23,51,3,31.45,150.13,162.28,312.41,9885812,18789,22158,848800,10775559,5683828,1519171,7202999,1479635,1676418,10359052,159119,2225427,65071,28308,5087,117113,2053097,332445,3799972,11219,13758,1434725,158223,469210,469210,07/93,06/94,WY,56,95,07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0
606279,87,17,2,62.75,102.83,178.19,281.02,16231999,1198001,206041,864084,18500125,8786950,3079398,11866348,2050983,4155841,18073172,209973,1896427,97156,40069,6923,142846,2289466,446025,3834668,19314,37854,1128179,105162,606278,606278,07/93,06/94,AK,02,95,08,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0
1233307,229,9,2,126.3,399.98,192.49,592.47,19396077,0,149413,2539163,22084653,12970036,1703862,14673898,3747582,3359225,21780705,3003145,4909479,120150,61259,15676,327305,5369578,824556,8323476,42533,54324,3400271,286840,1117077,1125000,07/93,12/94,NH,33,95,01,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0
941805,104,37,5,46.7,150.92,251.26,402.18,12624534,515017,292459,1775728,15207738,6977495,1927415,8904910,2292232,3349219,14546361,1083882,3069335,68091,37275,8206,233977,4504922,788636,7254543,23140,35858,3033473,229842,925808,1133034,10/93,09/94,ID,16,95,07,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0
606900,1,26,1,128,161,275.5,436.5,21626000,0,429000,284000,22339000,13629000,2300000,15929000,2243000,4168000,22340000,939000,2165154,259485,8306,4125,71792,2153668,997464,1905961,7059,115,562956,186288,606900,606900,10/93,09/94,DC,11,95,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
