LIBID,LIBNAME,ADDRESS,CITY,ZIP1,ZIP2,PHONE,POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,C_RELATN,C_LEGBASE,C_ADMIN,CNTY,POPU_UNDUP,FSCSKEY,STABR,PUB_FIPS,YR,OBEREG,RSTATUS,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
40,ANCHOR POINT PUBLIC LIBRARY,BOX 129,ANCHOR POINT,99556,0129,9072357345,1358,1,0,0,0,0.25,0,0.25,0,6482,0,2721,9203,,,,1884,,9203,0,8000,50,335,10,530,2500,200,7180,0,0,2642,240,NO,NP,SO,               -1,1358,AK0001,AK,02,93,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
50,ANCHORAGE MUNICIPAL LIBRARIES,3600 DENALI,ANCHORAGE,99503,6093,9072612975,272262,1,4,0,34.62,34.62,73.58,108.2,6894038,76466,75746,327940,7374190,2907703,1154147,4061850,783899,2528441,7374190,0,464528,50455,2742,1677,9972,1000721,203017,1325123,6273,2799,488566,32668,NO,CI,MO,               -1,272260,AK0002,AK,02,93,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
60,ANDERSON VILLAGE LIBRARY,BOX 3078,ANDERSON,99744,3078,9075822628,649,1,0,0,0,0.25,0,0.25,3500,8705,0,2682,14887,,,,4519,,14950,0,11801,353,472,35,504,2266,1244,3711,110,236,1186,200,NO,NP,SO,               -1,649,AK0003,AK,02,93,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
70,ANIAK PUBLIC LIBRARY,BOX 270,ANIAK,99557,0270,9076754435,529,1,0,0,0,0.75,0,0.75,8926,8705,0,0,17631,,,,4139,,17630,0,2428,94,232,16,1050,3000,20,2109,0,6,1655,0,NO,CI,SO,               -1,529,AK0004,AK,02,93,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
90,KUSKOKWIM CONSORTIUM LIBRARY,POUCH 1068,BETHEL,99559,1068,9075434516,4868,1,0,0,0.75,0.75,2,2.75,78362,13764,3500,167923,263549,126931,37396,164327,55728,43494,263549,0,35606,2053,768,135,3000,32000,3027,18248,177,195,5315,250,NO,AP,SO,               -1,4868,AK0006,AK,02,93,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 5, 0, 0, 0,10, 0, 0
100,BIG LAKE LIBRARY,BOX 520829,BIG LAKE,99652,0829,9078926475,3818,1,0,0,0,1,0.25,1.25,85557,8705,0,0,94262,,,,11144,,94262,0,7573,135,258,23,2208,14496,695,23944,4,126,18064,1412,NO,MJ,SO,               -1,3818,AK0007,AK,02,93,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
110,CANTWELL SCH/COMM LIBRARY,BOX 68,CANTWELL,99729,0068,9077682372,147,1,0,0,0,0.25,0,0.25,611,5370,0,500,6481,,,,2749,,6481,0,8295,36,60,18,505,1800,950,5271,0,4,995,35,NO,SP,SO,               -1,147,AK0008,AK,02,93,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
150,CHINIAK PUBLIC LIBRARY,BOX 5610,CHINIAK,99615,5610,9074863022,241,1,0,0,0,0,0,0,3000,7223,0,500,10723,,,,3413,,10773,0,6585,0,229,18,520,3220,200,3850,0,0,2350,35,NO,NP,SO,               -1,241,AK0011,AK,02,93,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
170,RUTH RIGGS PUBLIC LIBRARY,5080 JACK WARREN ROAD,CLEARWATER,99737,9418,9078954408,1500,1,0,0,0,0,0,0,0,5000,0,610,5610,,,,2887,,5004,0,11077,290,739,7,900,3500,100,12988,0,10,1320,14,NO,NP,SO,               -1,1500,AK0013,AK,02,93,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
180,COLD BAY PUBLIC LIBRARY,BOX 87,COLD BAY,99571,0087,9075322308,137,1,0,0,0,0,0,0,2000,6482,0,0,8482,,,,6158,,8567,0,7863,278,786,3,825,2530,700,5199,1,25,949,230,NO,CI,SO,               -1,137,AK0014,AK,02,93,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
190,COOPER LANDING COMM. LIBRARY,BOX 517,COOPER LANDING,99572,0517,9075951241,576,1,0,0,0,0,0,0,0,6111,0,4299,10410,,,,5858,,7642,0,3459,588,200,10,1040,2378,100,4854,0,28,1635,0,NO,NP,SO,               -1,576,AK0015,AK,02,93,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
200,CORDOVA PUBLIC LIBRARY,BOX 1170,CORDOVA,99574,1170,9074246667,2504,1,0,0,0,2,1,3,101307,8705,0,2237,112249,58677,25124,83801,8402,6359,98562,2745,21955,1459,210,90,2080,22972,1557,28022,0,194,13058,540,NO,CI,SO,               -1,2504,AK0016,AK,02,93,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 5, 0, 0, 0, 0, 0, 0
210,CRAIG PUBLIC LIBRARY,BOX 26,CRAIG,99921,0026,9078263281,1637,1,0,0,0,0.87,0.25,1.12,39484,8705,0,1919,50108,,,,5867,,50108,0,9455,0,61,40,2124,3600,75,11382,0,165,4868,696,NO,CI,SO,               -1,1637,AK0017,AK,02,93,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
